IP flavors                   4 (0.0%)
Servergy                     4 (0.0%)
Dell                         4 (0.0%)
Stratus Technologies         4 (0.0%)
ZTE Corporation              4 (0.0%)
Sony                         4 (0.0%)
picoChip Designs             4 (0.0%)
hjk engineering              4 (0.0%)
WindRiver                    3 (0.0%)
Maxim Integrated Products    3 (0.0%)
Synaptics                    3 (0.0%)
Xyratex                      3 (0.0%)
Elliptic Technologies        3 (0.0%)
C-DAC                        3 (0.0%)
Infineon Technologies AG     3 (0.0%)
ZOHO Corp                    3 (0.0%)
Zadara Storage               3 (0.0%)
Alphalink                    3 (0.0%)
RapidRollout                 3 (0.0%)
Prodrive                     3 (0.0%)
Crystalfontz                 3 (0.0%)
Trellisware Technologies     3 (0.0%)
Fixstars Technologies        3 (0.0%)
Barco                        3 (0.0%)
Elbrys Networks              3 (0.0%)
Lawrence Livermore National Laboratory    3 (0.0%)
ENEA AB                      3 (0.0%)
CodeSourcery                 3 (0.0%)
OSADL                        3 (0.0%)
Lumanate                     3 (0.0%)
Vision Systems GmbH          3 (0.0%)
EADS                         3 (0.0%)
VayavyaLabs                  3 (0.0%)
EZChip                       3 (0.0%)
Dr. Schenk                   3 (0.0%)
Jolla                        3 (0.0%)
Universal Scientific Industrial Co.    3 (0.0%)
NewFlow                      3 (0.0%)
Codethink Limited            3 (0.0%)
Yandex                       2 (0.0%)
cynove                       2 (0.0%)
Digital Design Corporation    2 (0.0%)
Software Development Europe    2 (0.0%)
Mozilla                      2 (0.0%)
Orange                       2 (0.0%)
ONERA                        2 (0.0%)
jusst technologies GmbH      2 (0.0%)
Tonian                       2 (0.0%)
MPL AG                       2 (0.0%)
ONELAN                       2 (0.0%)
Allnet GmbH                  2 (0.0%)
OPTEYA SAS                   2 (0.0%)
ADVANSEE                     2 (0.0%)
8D Technologies              2 (0.0%)
ESD Electronics              2 (0.0%)
VIA                          2 (0.0%)
EfficiOS                     2 (0.0%)
Viprinet GmpH                2 (0.0%)
Schleißheimer               2 (0.0%)
fuel7                        2 (0.0%)
Akamai Technologies          2 (0.0%)
ALT Linux Ltd                2 (0.0%)
PHYTEC Messtechnik GmbH      2 (0.0%)
Your File System             2 (0.0%)
Cumulus Networks             2 (0.0%)
Logitech                     2 (0.0%)
Sencore                      2 (0.0%)
RGM Advisors                 2 (0.0%)
LWN.net                      2 (0.0%)
Portalis                     2 (0.0%)
Amazon.com                   2 (0.0%)
Virginia Tech                2 (0.0%)
Factor-SPE                   2 (0.0%)
Micrel Inc.                  2 (0.0%)
EFE                          2 (0.0%)
Academia                     2 (0.0%)
Gemalto                      2 (0.0%)
Allied Telesis               2 (0.0%)
SKTB SKiT                    2 (0.0%)
XS4ALL Internet bv           2 (0.0%)
InvenSense                   2 (0.0%)
ProfitBricks GmbH            2 (0.0%)
Evidence Srl                 2 (0.0%)
Cyberoam Technologies        2 (0.0%)
Juniper Networks             2 (0.0%)
Digilent                     2 (0.0%)
Oak Ridge National Laboratory    2 (0.0%)
Huawei                       1 (0.0%)
Societe Francaise de Radiotelephone    1 (0.0%)
KernelLabs Inc               1 (0.0%)
tarent solutions             1 (0.0%)
CenterVue                    1 (0.0%)
Grapecom Ltd                 1 (0.0%)
Xsens                        1 (0.0%)
Beam Ltd.                    1 (0.0%)
IOSONO                       1 (0.0%)
Raritan                      1 (0.0%)
Grid-Net                     1 (0.0%)
Digigram                     1 (0.0%)
Kinkrsoftware                1 (0.0%)
Xelerated AB                 1 (0.0%)
ITT Industries               1 (0.0%)
Bluehost                     1 (0.0%)
MicroGate Systems            1 (0.0%)
Holoscópio Tecnologia Ltda.    1 (0.0%)
Teleca                       1 (0.0%)
ITWatchdogs                  1 (0.0%)
