3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Naoya Horiguchi             13 (0.0%)
Michal Marek                13 (0.0%)
Seiji Aguchi                13 (0.0%)
Manish chopra               13 (0.0%)
Jason Cooper                13 (0.0%)
Michael Grzeschik           13 (0.0%)
Peter Chen                  13 (0.0%)
Jayamohan Kallickal         13 (0.0%)
Barak Witkowski             13 (0.0%)
Gertjan van Wingerde        13 (0.0%)
Jason Wessel                13 (0.0%)
Masatake YAMATO             13 (0.0%)
Horia Geanta                13 (0.0%)
Daniel Santos               13 (0.0%)
Roger Pau Monne             13 (0.0%)
Davide Ciminaghi            13 (0.0%)
Maxim Patlasov              13 (0.0%)
Thomas Renninger            12 (0.0%)
Alexander Holler            12 (0.0%)
David Sterba                12 (0.0%)
Anatol Pomozov              12 (0.0%)
Phil Edworthy               12 (0.0%)
Tony Zelenoff               12 (0.0%)
Jeffrin Jose                12 (0.0%)
Steven King                 12 (0.0%)
Lee, Chun-Yi                12 (0.0%)
Peng Tao                    12 (0.0%)
KAMEZAWA Hiroyuki           12 (0.0%)
Rik van Riel                12 (0.0%)
Myungjoo Ham                12 (0.0%)
Hannes Reinecke             12 (0.0%)
Zefir Kurtisi               12 (0.0%)
Josh Durgin                 12 (0.0%)
Balaji T K                  12 (0.0%)
Eric Bénard                12 (0.0%)
Vaibhav Bedia               12 (0.0%)
Varun Sethi                 12 (0.0%)
Jouni Malinen               12 (0.0%)
Hayes Wang                  12 (0.0%)
Victor Goldenshtein         12 (0.0%)
Fabio Porcedda              12 (0.0%)
Matthieu CASTET             12 (0.0%)
Yair Shapira                12 (0.0%)
Dotan Barak                 12 (0.0%)
Ilan Peer                   12 (0.0%)
Krzysztof Mazur             12 (0.0%)
Imre Deak                   12 (0.0%)
Vivien Didelot              12 (0.0%)
Sangho Yi                   12 (0.0%)
George Zhang                12 (0.0%)
Andreas Schwab              11 (0.0%)
Russ Dill                   11 (0.0%)
Philippe Rétornaz          11 (0.0%)
Herton Ronaldo Krzesinski   11 (0.0%)
Vivek Goyal                 11 (0.0%)
Marco Chiappero             11 (0.0%)
Peter Korsgaard             11 (0.0%)
Seung-Woo Kim               11 (0.0%)
Shlomo Pongratz             11 (0.0%)
Thadeu Lima de Souza Cascardo   11 (0.0%)
Doug Ledford                11 (0.0%)
Stefan Richter              11 (0.0%)
Mike Galbraith              11 (0.0%)
Thomas Meyer                11 (0.0%)
Sourav Poddar               11 (0.0%)
Amit Shah                   11 (0.0%)
Hans-Frieder Vogt           11 (0.0%)
Yann E. MORIN               11 (0.0%)
srinivas pandruvada         11 (0.0%)
Arve Hjønnevåg            11 (0.0%)
Aneesh V                    11 (0.0%)
Lokesh Vutla                11 (0.0%)
yan                         11 (0.0%)
Simon Wood                  11 (0.0%)
David Ward                  11 (0.0%)
Michael Büsch              11 (0.0%)
Jeff Mahoney                11 (0.0%)
Matthew Leach               11 (0.0%)
James Ralston               11 (0.0%)
Doug Anderson               11 (0.0%)
Mengdong Lin                11 (0.0%)
Philip Rakity               11 (0.0%)
Akeem G. Abodunrin          11 (0.0%)
Jonghwa Lee                 11 (0.0%)
Yanchuan Nian               11 (0.0%)
Veaceslav Falico            11 (0.0%)
Jacob Shin                  11 (0.0%)
Vikram Narayanan            11 (0.0%)
Damien Cassou               11 (0.0%)
Eunchul Kim                 11 (0.0%)
Shahed Shaikh               11 (0.0%)
Paul Moore                  10 (0.0%)
Dmitry Eremin-Solenikov     10 (0.0%)
Andy Lutomirski             10 (0.0%)
Santosh Nayak               10 (0.0%)
Ganesan Ramalingam          10 (0.0%)
Dav Hansen                  10 (0.0%)
Hui Wang                    10 (0.0%)
Martin Blumenstingl         10 (0.0%)
Xiaotian Feng               10 (0.0%)
Andre Przywara              10 (0.0%)
Alexander Stein             10 (0.0%)
Benjamin Poirier            10 (0.0%)
Jeff Garzik                 10 (0.0%)
Giridhar Malavali           10 (0.0%)
Igor M. Liplianin           10 (0.0%)
Oskar Schirmer              10 (0.0%)
Casey Schaufler             10 (0.0%)
Vasu Dev                    10 (0.0%)
Don Skidmore                10 (0.0%)
Geoff Levand                10 (0.0%)
Raja Mani                   10 (0.0%)
Tkhai Kirill                10 (0.0%)
Wang YanQing                10 (0.0%)
Andreas Herrmann            10 (0.0%)
Paolo Valente               10 (0.0%)
Jesse Gross                 10 (0.0%)
Christoph Paasch            10 (0.0%)
Chris Rattray               10 (0.0%)
Manuel Lauss                10 (0.0%)
Dinh Nguyen                 10 (0.0%)
Nithin Nayak Sujir          10 (0.0%)
Johannes Goetzfried         10 (0.0%)
Yoni Divinsky               10 (0.0%)
Daniel Glöckner            10 (0.0%)
George Spelvin              10 (0.0%)
Al Cooper                   10 (0.0%)
Thierry Escande             10 (0.0%)
Eric Millbrandt             10 (0.0%)
Kent Overstreet             10 (0.0%)
Brian King                  10 (0.0%)
Pali Rohár                 10 (0.0%)
Matt Schulte                10 (0.0%)
Gwenhael Goavec-Merou       10 (0.0%)
Shani Michaeli              10 (0.0%)
Yoichi Yuasa                 9 (0.0%)
Rustad, Mark D               9 (0.0%)
Tushar Dave                  9 (0.0%)
Corey Minyard                9 (0.0%)
Thomas Huehn                 9 (0.0%)
Mike Christie                9 (0.0%)
Sebastien Guiriec            9 (0.0%)
Wim Van Sebroeck             9 (0.0%)
Xose Vazquez Perez           9 (0.0%)
Forest Bond                  9 (0.0%)
Yevgeny Petrilin             9 (0.0%)
Andrzej Hajda                9 (0.0%)
Ben Collins                  9 (0.0%)
Parav Pandit                 9 (0.0%)
Stanislav Yakovlev           9 (0.0%)
Jaehoon Chung                9 (0.0%)
KOSAKI Motohiro              9 (0.0%)
James Chapman                9 (0.0%)
Jim Kukunas                  9 (0.0%)
Kyle McMartin                9 (0.0%)
Arnaud Patard (Rtp)          9 (0.0%)
Inderpal Singh               9 (0.0%)
Brian Austin                 9 (0.0%)
Ola Lilja                    9 (0.0%)
Sekhar Nori                  9 (0.0%)
Andy Whitcroft               9 (0.0%)
Mike Isely                   9 (0.0%)
Neil Zhang                   9 (0.0%)
Ashish Chavan                9 (0.0%)
Suzuki Poulose               9 (0.0%)
Ravishankar Karkala Mallikarjunayya    9 (0.0%)
Flavio Leitner               9 (0.0%)
Jesper Nilsson               9 (0.0%)
Rajanikanth H.V              9 (0.0%)
Shengzhou Liu                9 (0.0%)
Zhao Hongjiang               9 (0.0%)
Tetsuyuki Kobayashi          9 (0.0%)
Colin Ian King               9 (0.0%)
Joe Millenbach               9 (0.0%)
Kelvin Cheung                9 (0.0%)
Jia Hongtao                  9 (0.0%)
Duan Jiong                   9 (0.0%)
Ido Reis                     9 (0.0%)
Erik Hugne                   9 (0.0%)
Vipin Kumar                  9 (0.0%)
Vince Weaver                 9 (0.0%)
Krzysztof Hałasa            9 (0.0%)
Dave Young                   9 (0.0%)
anish kumar                  9 (0.0%)
Robert P. J. Day             9 (0.0%)
Josh Hay                     9 (0.0%)
Arun Easi                    9 (0.0%)
Youngjun Cho                 9 (0.0%)
Patil, Rachna                9 (0.0%)
Qing Xu                      9 (0.0%)
Philip J Kelleher            9 (0.0%)
Andy King                    9 (0.0%)
Andres More                  9 (0.0%)
Sachin Prabhu                8 (0.0%)
Ben Myers                    8 (0.0%)
Eddie Wai                    8 (0.0%)
Salman Qazi                  8 (0.0%)
Jens Axboe                   8 (0.0%)
Tom Herbert                  8 (0.0%)
Matt Carlson                 8 (0.0%)
Chen Gong                    8 (0.0%)
Manish Rangankar             8 (0.0%)
Hendrik Brueckner            8 (0.0%)
Pierre-Louis Bossart         8 (0.0%)
Seth Heasley                 8 (0.0%)
Somnath Kotur                8 (0.0%)
Kyoungil Kim                 8 (0.0%)
Holger Dengler               8 (0.0%)
Stefan Haberland             8 (0.0%)
Andrzej Pietrasiewicz        8 (0.0%)
Darren Hart                  8 (0.0%)
Michel JAOUEN                8 (0.0%)
Paul Zimmerman               8 (0.0%)
Marc Reilly                  8 (0.0%)
Bala Shanmugam               8 (0.0%)
Michael Witten               8 (0.0%)
Alan Ott                     8 (0.0%)
Vijay Subramanian            8 (0.0%)
Jakub Kicinski               8 (0.0%)
Liu Ying                     8 (0.0%)
Max Tottenham                8 (0.0%)
M R Swami Reddy              8 (0.0%)
Jovi Zhang                   8 (0.0%)
Luca Tettamanti              8 (0.0%)
Kleber Sacilotto de Souza    8 (0.0%)
Michael Walle                8 (0.0%)
Mahesh Palivela              8 (0.0%)
Yuan Kang                    8 (0.0%)
Zhangfei Gao                 8 (0.0%)
Maxime Bizon                 8 (0.0%)
Taku Izumi                   8 (0.0%)
LEROY Christophe             8 (0.0%)
Harsh Kumar                  8 (0.0%)
Florian Vaussard             8 (0.0%)
Alban Bedel                  8 (0.0%)
Ajay Kumar                   8 (0.0%)
Alexey Klimov                8 (0.0%)
Wen Xiong                    8 (0.0%)
Jerry Snitselaar             7 (0.0%)
Kailang Yang                 7 (0.0%)
Subhash Jadavani             7 (0.0%)
Mandeep Singh Baines         7 (0.0%)
Sean Hefty                   7 (0.0%)
Ben Chan                     7 (0.0%)
Don Zickus                   7 (0.0%)
Herbert Xu                   7 (0.0%)
Qiao Zhou                    7 (0.0%)
Hiroaki SHIMODA              7 (0.0%)
Zhang, Yang Z                7 (0.0%)
Nikolaus Voss                7 (0.0%)
Andrew Vasquez               7 (0.0%)
Patrik Jakobsson             7 (0.0%)
Mike Frysinger               7 (0.0%)
Rhyland Klein                7 (0.0%)
Federico Vaga                7 (0.0%)
Steffen Maier                7 (0.0%)
Prabhakar Kushwaha           7 (0.0%)
Zhao Chenhui                 7 (0.0%)
Mathias Nyman                7 (0.0%)
Ivo Sieben                   7 (0.0%)
Stuart Hodgson               7 (0.0%)
Chris Boot                   7 (0.0%)
Anisse Astier                7 (0.0%)
Andreas Eversberg            7 (0.0%)
Robert Lee                   7 (0.0%)
Peter De Schrijver           7 (0.0%)
Don Fry                      7 (0.0%)
Helmut Schaa                 7 (0.0%)
Moger, Babu                  7 (0.0%)
Takahiro Shimizu             7 (0.0%)
Michal Kubeček              7 (0.0%)
Michal Malý                 7 (0.0%)
Aleksey Babahin              7 (0.0%)
Amos Kong                    7 (0.0%)
Jing Huang                   7 (0.0%)
Vijay Purushothaman          7 (0.0%)
Ira W. Snyder                7 (0.0%)
Prasad Joshi                 7 (0.0%)
Denis Efremov                7 (0.0%)
Palmer Cox                   7 (0.0%)
Nicolas THERY                7 (0.0%)
Stuart Yoder                 7 (0.0%)
Christian Riesch             7 (0.0%)
Heiko Schocher               7 (0.0%)
Haren Myneni                 7 (0.0%)
Nishanth Aravamudan          7 (0.0%)
Chad Williamson              7 (0.0%)
Pritesh Raithatha            7 (0.0%)
Donald Dutile                7 (0.0%)
Sivaram Nair                 7 (0.0%)
Simon Arlott                 7 (0.0%)
Yongqiang Yang               7 (0.0%)
Macpaul Lin                  7 (0.0%)
Loic Pallardy                7 (0.0%)
Johan Rudholm                7 (0.0%)
Youquan Song                 7 (0.0%)
Simon Guinot                 7 (0.0%)
channing                     7 (0.0%)
Greg Thelen                  7 (0.0%)
Rasesh Mody                  7 (0.0%)
Kumar, Anil                  7 (0.0%)
Hiraku Toyooka               7 (0.0%)
Soren Brinkmann              7 (0.0%)
Jeremy Kerr                  7 (0.0%)
Arron Wang                   7 (0.0%)
Hiral Patel                  7 (0.0%)
Mike Travis                  7 (0.0%)
Thomas Jarosch               7 (0.0%)
Xishi Qiu                    6 (0.0%)
Jan Engelhardt               6 (0.0%)
Deepthi Dharwar              6 (0.0%)
David Brown                  6 (0.0%)
Bob Copeland                 6 (0.0%)
Phil Sutter                  6 (0.0%)
Rafal Prylowski              6 (0.0%)
Bart Westgeest               6 (0.0%)
Adrian Hunter                6 (0.0%)
Denys Vlasenko               6 (0.0%)
Xudong Hao                   6 (0.0%)
Jun'ichi Nomura              6 (0.0%)
Luis Alves                   6 (0.0%)
Dave Jiang                   6 (0.0%)
Frank Blaschka               6 (0.0%)
Benoit Goby                  6 (0.0%)
Alexander Clouter            6 (0.0%)
Karol Lewandowski            6 (0.0%)
Linus Luessing               6 (0.0%)
Tomas Melin                  6 (0.0%)
Mikel Astiz                  6 (0.0%)
Jan Luebbe                   6 (0.0%)
Willem de Bruijn             6 (0.0%)
Ben Minerds                  6 (0.0%)
W. Trevor King               6 (0.0%)
Raghavendra K T              6 (0.0%)
Pontus Fuchs                 6 (0.0%)
Christopher Harvey           6 (0.0%)
Carsten Emde                 6 (0.0%)
Jianguo Wu                   6 (0.0%)
Jiri Prchal                  6 (0.0%)
Matthias Kaehlcke            6 (0.0%)
Michael Jones                6 (0.0%)
Tony Breeds                  6 (0.0%)
Shaohui Xie                  6 (0.0%)
G.Shark Jeong                6 (0.0%)
Vincent Guittot              6 (0.0%)
Nicolas Royer                6 (0.0%)
Holger Brunck                6 (0.0%)
Matthias Brugger             6 (0.0%)
Matthias Schiffer            6 (0.0%)
Adnan Ali                    6 (0.0%)
Ananth N Mavinakayanahalli    6 (0.0%)
Boris Ostrovsky              6 (0.0%)
Zhao Yakui                   6 (0.0%)
Jesse Brandeburg             6 (0.0%)
Nathan Fontenot              6 (0.0%)
Chander Kashyap              6 (0.0%)
Mark Langsdorf               6 (0.0%)
Adam Buchbinder              6 (0.0%)
Pandiyarajan Pitchaimuthu    6 (0.0%)
Matt Sealey                  6 (0.0%)
Satoru Takeuchi              6 (0.0%)
Pantelis Antoniou            6 (0.0%)
Rafael Aquini                6 (0.0%)
Lars Poeschel                6 (0.0%)
Damian Hobson-Garcia         6 (0.0%)
Hideki EIRAKU                6 (0.0%)
Robert Tivy                  6 (0.0%)
Zhou Zhu                     6 (0.0%)
Amaury Decrême              6 (0.0%)
Steven J. Magnani            5 (0.0%)
Milan Broz                   5 (0.0%)
Mitch A Williams             5 (0.0%)
Stefan Assmann               5 (0.0%)
Michel Dänzer               5 (0.0%)
Vasundhara Volam             5 (0.0%)
Sarveshwar Bandi             5 (0.0%)
Andrew Bird                  5 (0.0%)
Cliff Wickman                5 (0.0%)
Prarit Bhargava              5 (0.0%)
Pekka Enberg                 5 (0.0%)
zhenzhong.duan               5 (0.0%)
KyongHo                      5 (0.0%)
Robert Jarzmik               5 (0.0%)
Sumit Semwal                 5 (0.0%)
Michael Cree                 5 (0.0%)
Sedat Dilek                  5 (0.0%)
Daniel De Graaf              5 (0.0%)
Nikolai Kondrashov           5 (0.0%)
Felix Homann                 5 (0.0%)
Ying-Chun Liu (PaulLiu)      5 (0.0%)
Anssi Hannula                5 (0.0%)
joseph daniel                5 (0.0%)
Volokh Konstantin            5 (0.0%)
Jongpill Lee                 5 (0.0%)
John Johansen                5 (0.0%)
Andreas Westin               5 (0.0%)
Tetsuo Handa                 5 (0.0%)
Boojin Kim                   5 (0.0%)
Mark Hills                   5 (0.0%)
Hein Tibosch                 5 (0.0%)
Hemant Gupta                 5 (0.0%)
Martyn Welch                 5 (0.0%)
Benjamin LaHaise             5 (0.0%)
Havard Skinnemoen            5 (0.0%)
Ajit Khaparde                5 (0.0%)
Jonathan Austin              5 (0.0%)
Tom Zanussi                  5 (0.0%)
Dor Shaish                   5 (0.0%)
Alex Gershgorin              5 (0.0%)
Andrew Miller                5 (0.0%)
Eric B Munson                5 (0.0%)
Andrzej Kaczmarek            5 (0.0%)
Selvan Mani                  5 (0.0%)
Ian Kent                     5 (0.0%)
Steve Hodgson                5 (0.0%)
Timo Kokkonen                5 (0.0%)
Jaganath Kanakkassery        5 (0.0%)
Zach Brown                   5 (0.0%)
Hong zhi guo                 5 (0.0%)
Nick Bowler                  5 (0.0%)
Filipe Brandenburger         5 (0.0%)
Torben Hohn                  5 (0.0%)
Igal Chernobelsky            5 (0.0%)
Leed Aguilar                 5 (0.0%)
Yaakov Selkowitz             5 (0.0%)
Krystian Garbaciak           5 (0.0%)
Liu Yu                       5 (0.0%)
Thomas Mair                  5 (0.0%)
Martin Hundebøll            5 (0.0%)
Kim Lilliestierna XX         5 (0.0%)
Philippe De Muyter           5 (0.0%)
Alban Crequy                 5 (0.0%)
Jan Ceuleers                 5 (0.0%)
Willy Tarreau                5 (0.0%)
Zlatko Calusic               5 (0.0%)
Ulrich Weber                 5 (0.0%)
Simon Derr                   5 (0.0%)
Jean-Nicolas Graux           5 (0.0%)
Robin Dong                   5 (0.0%)
Rémi Cardona                5 (0.0%)
Lance Ortiz                  5 (0.0%)
Leela Krishna Amudala        5 (0.0%)
Nishant Sarmukadam           5 (0.0%)
Rene Buergel                 5 (0.0%)
David Härdeman              5 (0.0%)
Nilesh Javali                5 (0.0%)
Evgeny Plehov                5 (0.0%)
Attilio Rao                  5 (0.0%)
Pavan Savoy                  5 (0.0%)
Huacai Chen                  5 (0.0%)
Sudeep KarkadaNagesha        5 (0.0%)
Russ Gorby                   5 (0.0%)
